result,question_id,question,A,B,C,D,answer,correct,model_name
A,68,"A calculation based on the chemical energy of gasoline shows that a car should be able to go 100 miles on a gallon of fuel. When the car was driven on a test track, the car only went 25 miles on a gallon of fuel. What accounts for most of the difference?",the mass of the driver and the fuel carried by the car,the wind resistance between the car and the air nearby,the waste heat from the combustion of fuel in the engine,the friction between the tires and the surface of the track,C,False,X
B,69,A student wants to find the relationship between the diameter of several plastic disks and the circumference of each disk. Which of these types of graphs should be constructed to determine this relationship?,pie graph,line graph,scatterplot,box-and-whisker plot,B,True,X
A,70,"When light is bounced off a mirror, the light is",reflected.,refracted.,absorbed.,diffracted.,A,True,X
C,71,Which of the following sentences best explains what happens when puddles evaporate?,The water absorbs into the ground.,The particles of matter move more slowly.,The water changes from one form to another.,The particles of matter move closer together.,C,True,X
D,72,Plants on hills keep dirt in place during a rain storm. Plant roots grow into the dirt and keep the dirt from moving. Why do roots grow into the dirt?,to release gases,to release water,to absorb energy,to absorb nutrients,D,True,X
A,73,"In animal skin tissue, cell division is responsible for",growth and repair,sexual reproduction,obtaining energy,production of sex cells,A,True,X
A,74,Which process drives most of the ATP synthesis in a chloroplast?,flow of protons across an electrochemical gradient,flow of tRNA across an electrochemical gradient,exposure of ADP to electromagnetic waves,exposure of carbohydrates to electromagnetic waves,A,True,X
B,75,Which of the following is most consistent with the modern theory of evolution?,Parents pass their physical traits to their offspring; those offspring with traits that help them survive in the environment are able to reproduce.,"Parents change their physical traits in order to survive in the environment, then those parental traits are passed to their offspring.",Life on this planet came from another planet far out in space.,Living organisms have not changed for hundreds of millions of years.,A,False,X
B,76,Felicia investigated whether water color affected how fast the water heated in sunlight. She poured tap water into five beakers and placed food coloring in four out of the five beakers. Felicia then used a thermometer to measure the temperature of the water in each of the beakers. Which of these was used as control in her investigation?,mixing the food coloring in water,testing the beaker of uncolored tap water,using the same amount of water in each trial,testing the colored water samples at different times,B,True,X
A,78,Western coral snakes have a striped color pattern and are poisonous. Arizona mountain king snakes look like western coral snakes but are not poisonous. The color pattern of the Arizona mountain king snake is an example of,camouflage.,mimicry.,mutualism.,parasitism.,B,False,X
A,79,Which plant trait is inherited?,the shape of its leaves,the amount of water it receives,the number of minerals it absorbs from soil,the level of sunlight to which it is exposed,A,True,X
A,80,"A student put 200 milliliters (mL) of water into a pot, sets the pot on a burner, and heats the water to boil. When the pot is taken off the burner, it contains only 180 milliliters (mL) of water. What happened to the rest of the water?",It was used up.,It condensed.,It was absorbed by the heat.,It turned into water vapor.,D,False,X
A,81,Howie put his plants under a plant light. What was he helping his plants do by providing light?,make food,attract insects,release pollen,grow roots,A,True,X
D,82,Which lists the diameter of the planets in order from smallest to largest?,"Venus, Earth, Mercury, Mars","Earth, Mars, Venus, Mercury","Mars, Mercury, Earth, Venus","Mercury, Mars, Venus, Earth",D,True,X
A,83,The aloe plant can absorb a lot of water during a rain shower. The extra water is stored in its leaves. The ability to store water in its leaves is most likely an adaptation to which type of environment?,one near the ocean,one with dry conditions,one with a variety of organisms,one that receives a lot of sunlight,B,False,X
B,84,"When stratospheric ozone levels are reduced, the amount of ultraviolet radiation hitting Earth increases. Ozone depletion is most often caused",by the reversal of the magnetic field of Earth.,when fluorocarbons are released into the atmosphere.,when electromagnetic waves from the Sun increase.,by abrupt changes in weather and climate patterns.,B,True,X
B,86,Which of these animals has a young form that looks the most like the adult form?,moth,human,frog,butterfly,B,True,X
D,87,Two tectonic plates pushing toward each other cause intense heat and pressure in Earth's crust. Into which will crust material be changed by heat and pressure?,fossils,sediments,igneous rock,metamorphic rock,D,True,X
A,88,A student states that plants grow taller when grown in natural light than they do in artificial light. Which method is the best way to determine if the statement is fact or opinion?,conduct a controlled experiment,discuss the statement with other students,ask several teachers their thoughts,propose a scientific conclusion,A,True,X
A,89,Which object is powered by an electrical circuit?,a drum,a flashlight,a matchstick,a wind-up toy,B,False,X
A,90,"Which concept supports the endosymbiotic origin of complex, eukaryotic double-membrane structures?",Mitochondria and chloroplasts arise from preexisting mitochondria and chloroplasts.,Mitochondria and chloroplasts arise from preexisting endomembrane systems.,Mitochondria and chloroplasts are synthesized in the nucleus.,Mitochondria and chloroplasts are synthesized in ribosomes.,A,True,X
D,91,Which of these human activities most relies on high-quality soil?,Hiking,Hunting,Coal mining,Growing crops,D,True,X
A,93,Some areas of the world are experiencing more desert-like conditions. This change most favors survival of species with the ability to do which of the following?,consume large amounts of food,become dormant for long periods,sense infrared and ultraviolet light,transpire water through the skin to the atmosphere,B,False,X
A,94,Roger poured water over a pile of sand. Some of the sand washed away. This process is similar to which of the following?,The eruption of a volcano,The erosion of the walls of a canyon,The uplifting of mountain ranges,The forming of dunes or mounds in a desert,B,False,X
A,95,"When an earthquake wave passes from the crust to the mantle, the wave",reverses direction.,changes speed.,increases energy.,stops moving.,B,False,X
B,96,A student wraps a wire around an iron nail. The student then connects the wire to a battery. The nail attracts another nail and they stick together. What force holds the two nails together?,gravitational force,magnetic force,electric force,friction force,B,True,X
A,97,Natural processes cause rapid and slow changes to Earth's surface. Which event causes changes to Earth's surface most rapidly?,an earthquake shaking the ground,sediment washing into a bay,a rainstorm weathering rock,water flowing in stream,A,True,X
A,98,"Since 1961, Nevada has led the United States in production of which resource?",gold,uranium,lumber,iron,A,True,X
D,99,A class is testing the effect of exercise on heart rate. The heart rate of two students before exercise is compared to their heart rate after running around a track. Which procedure will most likely help the class correctly compare the results of the two students?,test students who are the same height,have the students run on the same day,measure the distance each student runs,have the students run for the same amount of time,D,True,X
D,101,The continuous changes of a seed to an adult plant that produces seeds is known as a,lunar cycle.,weekly cycle.,daily cycle.,life cycle.,D,True,X
C,102,"When someone plays the flute, sound is produced because the air in the flute is",hot.,neutral.,vibrating.,vaporizing.,C,True,X
B,103,Scientists compared Pluto with other objects in the solar system and found that Pluto is smaller than Earth's moon. This finding caused scientists to question whether Pluto is a planet because,Pluto gets less sunlight than Earth's moon,the other planets are much larger than Pluto,the other planets have moons and Pluto does not,Pluto rotates on its axis and the other planets do not,B,True,X
A,107,The atoms that make up oxygen gas,share two covalent bonds.,have a definite shape.,share a pair of neutrons.,have two free electrons.,A,True,X
D,109,"If the atomic mass number of an atom is 35, which statement is most accurate?",The atom is not an isotope.,The atomic number is less than 17.,The atom has an odd number of neutrons.,The number of protons does not equal the number of neutrons.,D,True,X
A,110,Biotic components need to be recycled through an ecosystem. Which type of organisms are best able to recycle nutrients back into the ecosystem?,decomposers,predators,producers,scavengers,A,True,X
D,111,"Roger visited his grandfather who lives on a farm. While he was there, he helped his grandfather move hay out of the barn. As Roger worked in the barn he began sneezing. Which system of the body most likely caused Roger to sneeze?",circulatory,excretory,digestive,immune,D,True,X
C,112,Why should plants be included in investigations about the water cycle?,Plants speed up the water cycle by removing carbon from the air.,Plants start the water cycle when they make water in photosynthesis.,Plants are part of the water cycle through the process of transpiration.,Plants stop the water cycle because they absorb it and stop the flow to streams.,C,True,X
A,113,Which statement best identifies a basic need of all animals?,They need to eat.,They need to hide.,They need to jump.,They need to smell.,A,True,X
D,115,Which of these provide the best evidence that life could develop on Mars?,its atmospheric gases,its surface temperatures,its craters and rocky surface,its ice and organic molecules,D,True,X
A,116,The primary reason that plants are important for an ecosystem is because they,provide energy for consumers.,depend on other organisms for shelter.,break down dead animal matter.,consume nutrients for energy.,A,True,X
A,117,Energy from the Sun reaches Earth by,radiation.,conduction.,convection.,thermal expansion.,A,True,X
B,118,Scientists study the current conditions of many solar system objects to gain insight into conditions early in the history of Earth. Which phenomenon most closely models current theories of early Earth?,liquid forming valleys on Mars,hundreds of active volcanoes on Io,rock and ice forming the core of Neptune,ice covering the entire surface of Europa,B,True,X
B,119,"Jonathan places a pot of water on a stove. As the water boils, how does the state of the water change?",from gas to liquid,from liquid to gas,from liquid to solid,from solid to liquid,B,True,X
B,120,Animal cells obtain energy by,processing sunlight.,absorbing nutrients.,growing.,dividing.,B,True,X
B,121,Which illness is associated with a weakened immune system in the body?,tetanus,cancer,measles,rabies,B,True,X
A,122,"In the human kidney, urea from the blood is filtered through the glomerular membrane into a nephron. The movement of urea across this membrane occurs without an input of energy. Which factor is the most likely reason urea absorption does not require energy?",a pH imbalance,a pressure difference,a temperature increase,a concentration gradient,D,False,X
A,123,The greatest amount of diversity can be found among which type of organism?,plants,animals,bacteria,fungi,C,False,X
A,124,Which energy type is common enough in Nevada to make a significant contribution to the renewable energy needs of the state?,coal,geothermal,natural gas,petroleum,B,False,X
D,126,Which human trait is most likely inherited from a parent?,learning to ride a bike,holding a spoon,reading a book,height,D,True,X
C,127,Foam weather stripping is often placed in the frames of doors and windows in a home. What is the purpose of this weather stripping?,The weather stripping increases heat transfer by radiation.,Heat is conducted quickly through the weather stripping.,The weather stripping reduces heat loss due to convection.,Heat can transfer through the weather stripping due to reflection.,C,True,X
A,128,The items listed below were found in a science classroom. * a heart made of plastic with many of its parts labeled * clay formed to look like Earth and other planets * a giant plastic plant cell with removable cell parts These items are all examples of,models,experiments,variables,controls,A,True,X
B,129,"For a technology project, Kyle came up with an idea to build a model bridge. He wants his bridge to span 50 cm and to support a 1 kg object. According to the engineering design process, which of the following should be Kyle's next step?",construct prototypes of different kinds of bridges,research the different designs of bridges,gather the materials needed to build the bridge,make a drawing to show how to build the bridge,B,True,X
D,130,Light travels fastest through which of the following?,air,glass,water,a vacuum,D,True,X
A,131,Different systems of the human body perform different functions. Which system takes oxygen from the air to be moved by the circulatory system?,the respiratory system,the digestive system,the nervous system,the skeletal system,A,True,X
B,132,A solar cell turns sunlight into another form of energy. A solar cell is most like what natural structure?,an elephant's ears,a plant's leaves,a deer's hooves,a tree's roots,B,True,X
A,133,"The Sun appears to move across the sky each day, rising in the east and setting in the west. What causes this apparent motion?",the rotation of Earth on its axis,the revolution of the Sun around Earth,the Earth’s distance from the Sun,the properties of Earth’s atmosphere,A,True,X
C,134,What causes a blue block to appear blue in the sunlight?,The block absorbs all blue light.,The block bends (refracts) all blue light.,Only blue light is reflected by the block.,Only blue light passes through the block.,C,True,X
A,136,"Which method below would be the best way to determine if an egg, plastic foam, a piece of wood, or a candle would float on water?",observing each object in water,measuring the size of each object,calculating the weight of the objects,comparing the shapes of the objects,A,True,X
A,137,Liam lives in the Northern Hemisphere of Earth and plays in the snow in December. His friend lives in the Southern Hemisphere of Earth and plays at the beach in December. What is the best explanation for why this is possible?,tilt of Earth on its axis,rotation of Earth on its axis,revolution of Earth around the Sun,revolution of the Moon around Earth,A,True,X
A,138,A scientist needs to take a picture of the well-ordered arrangements of the atoms and molecules within a substance. Which of the following instruments would be best for the scientist to use?,a laser light with holograph.,a seismograph.,an electron microscope.,a stereoscope.,C,False,X
C,140,Which is needed for both boiling and melting to occur?,solids,gases,heat,pressure,C,True,X
C,141,Which of the following is an example of genetic engineering?,Growing a whole plant from a single cell.,Finding the sequences of bases in plant DNA.,Inserting a gene into plants that makes them resistant to insects.,Attaching the root of one type of plant to the stem of another type of plant.,C,True,X
A,143,Which best describes the role of the esophagus in digestion?,It releases acid and mixes food.,It aids in absorption of nutrients from food.,It carries food from the mouth to the stomach.,It carries food from the stomach to the intestines.,C,False,X
B,144,Which change is most likely caused by a thunderstorm?,a glacier moving,a stream flooding,a volcano erupting,a mountain forming,B,True,X
A,146,"Which of these can be described as a system of stars, gases, dust, and other matter that orbits a common center of gravity?",an asteroid,a galaxy,a nebula,a comet,B,False,X
B,147,"The Florida Bog Frog (Lithobates okaloosae) inhabits shallow stream overflows in three counties in Florida. With such a small geographic habitat, any change in the frog's environment could cause drastic changes in the population. Which would most likely affect the frog population if acid rain changed the pH of the water?",Prey insects would become inedible.,Tadpoles would be unable to survive.,Breeding sites would become unavailable.,Predators would choose another food source.,B,True,X
D,148,Which function do kidneys provide to maintain homeostasis?,the removal of excess heat from the body,the removal of carbon dioxide from the body,the removal of excess oxygen from the blood,the removal of nitrogenous wastes from the blood,D,True,X
A,149,"While running, leg muscles work to move leg bones, and the skin helps to",regulate body temperature.,sense small changes in the heart rate.,transport nutrients to muscles.,maintain oxygen levels in the blood.,A,True,X
D,151,"Some students were on a tour exploring the inside of a cave. While the students were in the cave, they realized they heard an echo every time that they spoke. Which most likely caused the echo to occur?",the accumulation of the sound waves,the diffraction of the sound waves,the refraction of the sound waves,the reflection of the sound waves,D,True,X
A,152,A scientist uses angstrom units to measure the distance between two points. The scientist is most likely measuring the distance between two,atoms.,cities.,continents.,stars.,A,True,X
A,153,"Based on the evidence available at the time, early models of the solar system stated that all objects in space orbited Earth. In the 16th century, an astronomer reevaluated the evidence and proposed a model of the solar system that is still in use. What part of this model corrected the mistake in previous solar system models?",The Sun is at the center of this model.,Earth is the largest object in this model.,This model contains more than one star.,This model shows that Earth is stationary.,A,True,X
B,154,The hormone insulin is secreted by the pancreas. Which activity is most likely to trigger an increase in the levels of insulin circulating in the blood?,driving,eating,jogging,sleeping,B,True,X
A,155,"In gym class a student kicks a soccer ball high into the air. As the ball goes upward, which type of energy is increasing?",kinetic energy,thermal energy,potential energy,mechanical energy,C,False,X
C,156,Which best describes the orbit of the Moon around Earth?,circular with a period of about one month,circular with a period of about one week,elliptical with a period of about one month,elliptical with a period of about one week,C,True,X
A,157,"In any physical or chemical process, what two quantities are always conserved?",matter and total energy,light and acoustic energy,density and thermal energy,gravity and potential energy,A,True,X
B,158,The nucleus of MOST atoms consists of,neutrons only,protons and neutrons,protons and electrons,neutrons and electrons,B,True,X
C,159,The complete removal of decomposers from an ecosystem will have the greatest effect on which of the following?,the spread of disease,the availability of water,the recycling of nutrients,the distribution of organisms,C,True,X
A,160,"In an accurate diagram of the solar system, which object would be shown closest to Earth?",the Moon,the asteroid belt,Mars,Saturn,A,True,X
D,161,"Typically, sedimentary rocks are formed",only in erupting volcanoes.,only under great pressure and high temperatures.,below Earth's surface as magma cools and crystallizes.,from materials that settle.,D,True,X
B,162,Which renewable resource is used with photovoltaic cells to produce electricity?,hydrothermal energy,solar energy,geothermal energy,nuclear energy,B,True,X
A,163,Which will most likely happen to a solid substance that is heated?,It will melt.,It will boil.,It will harden.,It will evaporate.,A,True,X
A,164,A scientist observes an unusual activity while studying bacterial cells. Using scientific inquiry to investigate the activity will enable the scientist to,control the behavior.,prove that the behavior is beneficial.,evaluate different explanations of the behavior.,conclude how the behavior will change in the future.,C,False,X
A,165,"In order to survive, all organisms must have",chlorophyll,carbon dioxide,energy,blood,C,False,X
C,166,Which observation of a plant supports the inference that photosynthesis can take place?,"a strong, sweet smell","a dry, rough texture",a green color,a smooth stem,C,True,X
A,167,"To safely conduct an experiment using chemicals, what should students always do?",Work in large groups.,Wear safety goggles.,Wear short sleeves.,Keep a window open.,B,False,X
B,168,Infections may be caused by,mutations,microorganisms,toxic substances,climate changes,B,True,X
A,170,The digestive system breaks food into simple substances that the body can use. What system carries these simple substances from the digestive system to other parts of the body?,circulatory,nervous,respiratory,skeletal,A,True,X
A,172,Which of these environmental changes goes on for months or years?,drought,flood,avalanche,landslide,A,True,X
A,173,Erin placed her shamrock plant in a dark corner. Soon she saw that the leaves had tilted toward her window. What did the plant need most from the window?,sunlight during the day,air during the day,darkness at night,warmth at night,A,True,X
A,174,Which gravitational pull has the greatest influence on Earth's tides?,the gravitational pull between Earth and the Moon,the gravitational pull between Earth and the Sun,the gravitational pull between Earth and Jupiter,the gravitational pull between Earth and Mars,A,True,X
C,176,A student is asked to bring something that feels rough to class. Which would be BEST for him to bring?,Pillow,Marble,Sandpaper,Trading card,C,True,X
B,177,What tool would be used to examine a fingerprint?,a graduated cylinder,a hand lens,a pair of goggles,a thermometer,B,True,X
A,178,Which of the following is a mineral?,diamond,plastic,steel,wood,A,True,X
D,180,The change in fur color of the Arctic hare from brown in the summer to white in the winter is an example of,mimicry.,heredity.,diversity.,camouflage.,D,True,X
A,181,Which sense is used to tell if there is sugar in a glass of tea?,Touch,Hearing,Smell,Taste,D,False,X
C,182,The surface of Earth is covered by a relatively thin layer of water called the,crust,mantle,hydrosphere,atmosphere,C,True,X
B,184,How does ice change the shape of rocks?,It dissolves the rocks by pooling on surfaces.,It breaks the rocks by expanding in openings.,It smooths the rocks by colliding with them.,It moves the rocks by pressing on them.,B,True,X
B,185,Which property of Earth's interior keeps the innermost part in a solid state?,relatively low temperature,extremely high pressure,high rate of heat flow,low rate of radioactive decay,B,True,X
A,186,Diseases that can be transmitted between organisms are,infectious.,inherited.,environmental.,congenital.,A,True,X
A,187,The transfer of thermal energy from one object to another is known as,heat.,electricity.,magnetism.,temperature.,A,True,X
A,188,Which part of the body carries out the function of copying DNA?,brain,heart,bones,cells,D,False,X
A,189,The atomic mass of an atom is,the same as the atomic number.,the same as the group number.,the sum of protons and neutrons.,the difference between protons and electrons.,C,False,X
B,190,Different species of carnivorous animals that share the same habitat in an ecosystem may,become decomposers,compete for food,produce their own food,mate with each other,B,True,X
C,191,Which scientist is best known for studying plants and animals?,Isaac Newton,Albert Einstein,Charles Darwin,Nicolaus Copernicus,C,True,X
B,192,Green plants get the energy they need to make food from,air,sunlight,water,soil,B,True,X
C,195,The ratio of an object's mass to its volume is its,area.,perimeter.,density.,weight.,C,True,X
C,196,"As the hawk population increases in an ecosystem, the deer mouse population will most likely decrease as a result of",decrease in food source.,increase in disease.,increase in predators.,decrease in habitat.,C,True,X
A,197,Greenhouse gases in the atmosphere trap heat near Earth's surface. Which of these is a greenhouse gas?,nitrogen,argon,water vapor,oxygen,C,False,X
A,198,What happens during photosynthesis?,Insects pollinate plants.,Plants change soil into food energy.,Animals get carbon dioxide from plants.,Plants change light energy into food energy.,D,False,X
C,199,Which is an example of a chemical reaction?,The melting of ice,The grinding of salt crystals to powder,The burning of wood,The evaporation of water from a puddle,C,True,X
B,200,A baby kit fox grows to become an adult with a mass of over 3.5 kg. What factor will have the greatest influence on this kit fox's survival?,the size of the fox's ears,the conditions of the fox's habitat,the average number of fox offspring,the social behaviors within the fox population,B,True,X
