agent,message,negotiation_id,turn
mturk_agent_2,"Sorry, that won't work for me. ☹️ My counteroffer is I will take three waters and two food packages and give you all of the firewood and 1 food.  I am running out of time, and if we don't agree, we will both lose out, so please consider this last offer.🙂",100,4
mturk_agent_1,Okay I can live with that. ,100,5
mturk_agent_2,Great! Let's finalize then . . .,100,5
mturk_agent_1,Submit-Deal,100,6
mturk_agent_2,Accept-Deal,100,6
mturk_agent_2,Hello! Nice to meet you.🙂,1000,0
mturk_agent_1,"Likewise, how are you today?🙂",1000,0
mturk_agent_2,"I'm doing fine, could be worse, You?",1000,1
mturk_agent_1,"Same, just getting ready for my families camping trip. Ready to make memories in the desert. Do you have any preferences for the items?",1000,1
mturk_agent_2,"That's nice, I am camping with the wife. Well I am camping near a stream so I don't need much water.",1000,2
mturk_agent_1,"That works for us, we will need a ton of water being in the desert and having a family of 5. We will not need much firewood if you want that you can have it.",1000,2
mturk_agent_2,"I need more food than anything, but probably some firewood too as I'll need to cook it.",1000,3
mturk_agent_1,"How about I take 3 water, 1 food and 1 firewood? How does that sound?",1000,3
mturk_agent_2,How about you take 3 water and I take 3 food and  we negotiate more on the firewood?,1000,4
mturk_agent_1,Sure. I only need one firewood. Does that work?,1000,4
mturk_agent_2,"Sure, that sounds good.",1000,5
mturk_agent_1,Please submit the deal.🙂,1000,5
mturk_agent_2,Submit-Deal,1000,6
mturk_agent_1,Accept-Deal,1000,6
mturk_agent_2,"Hello! How are you? We're on a camping trip, but we ran into some stranded hikers and shared some of our supplies with them, so we're hoping to get some more to cover what we lost. ☹️",1001,0
mturk_agent_1,😮 Oh no. How long were they stranded? I hope I can help you out.,1001,0
mturk_agent_2,"They were hiking down from their camp site and got stranded in a storm. They were taking shelter in a cave and said they had been there for about an extra day. If you could help, we'd really appreciate it!",1001,1
mturk_agent_1,What would you need to get you by?,1001,1
mturk_agent_2,"Well, we mostly shared a lot of food with them as well as some water, although they were already able to collect some to drink from the rain. At least they didn't need any of our firewood.",1001,2
mturk_agent_1,I can give you 1 food. 2 Water and 2 firewood ,1001,2
mturk_agent_2,I think we'll definitely need more food than that. We still have our whole 4 day camping trip ahead of us and we've lost half our supply of food. Would it be possible to get 2 food 2 water and 1 firewood?,1001,3
mturk_agent_1,I heard there are a lot of bears up on the ridge where we plan on going that like to steal the food. I really want to keep it in more than one location just in case. We have plenty of water though. I can do 1 food 3 water and 2 firewood.,1001,3
mturk_agent_2,"Oh wow, that sounds pretty dangerous. I understand why you need the food now. Since we wouldn't have to hike an hour to the stream to get water, we'll probably be less hungry then. So I'll get 1 food, 3 water, and 2 firewood, ok?",1001,4
mturk_agent_1,Great 🙂. That sounds good. I'm glad I could help.,1001,4
mturk_agent_2,Submit-Deal,1001,5
mturk_agent_1,Accept-Deal,1001,5
mturk_agent_2,Hello,1002,0
mturk_agent_1,Hi. Looking forward to the camping trip? What are you planning to gather today?,1002,0
mturk_agent_2,I am looking for extra food and water.  We are have big group of people with us!,1002,1
mturk_agent_1,Oh same here! We need extra food for our charity event we are holding at the campgrounds,1002,1
mturk_agent_2,I guess you can have all the food if I can have all the water and firewood,1002,2
mturk_agent_1,"Well, I do need water too. How about you can have 2 firewood, 1 water, and 1 firewood and I will take the rest?",1002,2
mturk_agent_2,"I will do 3 firewood, 1 water, 1 food",1002,3
mturk_agent_1,ok you have a deal,1002,3
mturk_agent_2,Hello,1002,4
mturk_agent_1,Yes I am still here. So are you good with our deal?🙂,1002,4
mturk_agent_2,Yes,1002,5
mturk_agent_1,Submit-Deal,1002,5
mturk_agent_2,Accept-Deal,1002,6
mturk_agent_1,"Hi, have you ever camped here before??🙂",1003,0
mturk_agent_2,"Yes, I love it...It's so serene.",1003,0
mturk_agent_1,It's quiet with everyone avoiding going anywhere because of the virus,1003,1
mturk_agent_2,"Oh yes, I get that 100%🙂🙂...I'm in need of a large amount of water for this trip though..will that be a problem for you?",1003,1
mturk_agent_1,"We brought lots of water but we could use some more firewood, it's going to be cold tonight",1003,2
mturk_agent_2,"Yes, I think you could be right on that one...maybe 2 water for me 1 for you...2 wood for you 1 for me...and for the food....",1003,2
mturk_agent_1,"Why don't I get 3 firewoods from you for 3 waters, and i'll be nice and give you 2 foods for 1",1003,3
mturk_agent_2,wow that sounds like a heck of a deal🙂🙂🙂🙂 I can't wait for this trip!!!,1003,3
mturk_agent_1,"No reason to bicker, one of us had to make a gesture and it was my turn🙂",1003,4
mturk_agent_2,That sounds great...it's a deal then🙂,1003,4
mturk_agent_1,Submit-Deal,1003,5
mturk_agent_2,Accept-Deal,1003,5
mturk_agent_2,"Hi, I'd like to get 3 waters, 1 firewood, and 1 food.",1004,0
mturk_agent_1,I think that I would need to get 3 firewood,1004,0
mturk_agent_2,"That could be arranged, but then I would like an additional food. So 3 water and 2 food for me.",1004,1
mturk_agent_1,I think we're getting close although I would prefer 3 firewood and 2 food for me,1004,1
mturk_agent_2,You are fine with me taking 3 waters though?,1004,2
mturk_agent_1,"Yes, I am fine with you taking 3 waters if you are ok with me taking 3 firewood",1004,2
mturk_agent_2,"ok, tell me why you need the extra food. because an extra food would be nice with my water",1004,3
mturk_agent_1,I have a large party and need to make sure we don't run out ,1004,3
mturk_agent_2,"Okay, that sounds reasonable. So I will get 3 Water and 1 Food. Please confirm your part of the deal so we can submit 🙂",1004,4
mturk_agent_1,I agree,1004,4
mturk_agent_2,Submit-Deal,1004,5
mturk_agent_1,Accept-Deal,1004,5
mturk_agent_2,"hello, I want to request additional Items because of some special circumstances",1005,0
mturk_agent_1,I have a health issue so need more food.,1005,0
mturk_agent_2,"ok, you can have som food. give me all the firewood because I have to keep warm, but I also need some food",1005,1
mturk_agent_1,Ok I take all three food items and 1 wood item,1005,1
mturk_agent_2,"I said I needed the firewood. I have asthma, I have to stay warm",1005,2
mturk_agent_1,"Ok, but I get all the water?",1005,2
mturk_agent_2,"I will need somee water two, you give me 3 firewood 2 water and 1 food item",1005,3
mturk_agent_1,"I need water because I have a sweating condition. It is for my health. How about 1 food item, 1 water and 2 firewood items.",1005,3
mturk_agent_2,"make three firewood, 2 water and 1 food and we have a deal",1005,4
mturk_agent_1,"You give me 1 of the firewood so I can stay a little warm.  So you get 2 firewood, 2 water, and 1 food item?  Deal?",1005,4
mturk_agent_2,Submit-Deal,1005,5
mturk_agent_1,Accept-Deal,1005,5
mturk_agent_2,Hi:  Really looking forward to my camping trip to the lake this weekend.  How about you?,1006,0
mturk_agent_1,Yes! I can't wait to get out of town. I'm mostly packed. You?,1006,0
mturk_agent_2,"Yes, I am.  Just a few last minute errands and we will be ready to go.  Who is joining you on your trip or are you going solo?",1006,1
mturk_agent_1,"Well, it was going to be a solo trip, but at the last minute my friend asked if he could join. I want to say yes but I don't think I have enough food for another person. When we split up supplies, how about I take all of the food and half the firewood, and you take the water and the rest of the firewood?",1006,1
mturk_agent_2,How about I take 3 firewoods and 2 waters and you can have all the food? ,1006,2
mturk_agent_1,"Hm, that doesn't work for me. I get really cold, so I'm looking forward to building a big fire. How about I take all the food, 1 firewood, and 1 water, and you take 2 firewoods and 2 waters?",1006,2
mturk_agent_2,I agree a fire at night is really nice. I think this deal is pretty good. I think we have food covered as my sons went to the store today and picked up all of their favorite snacks.  Not sure it's all going to fit in my car. LOL,1006,3
mturk_agent_1,Nice! I'll tell my friend he can join - he'll be so excited 🙂,1006,3
mturk_agent_2,I think it is always a good idea to go with someone else not only for companionship but also for safety.  Are  you planning on hiking? I heard it is beautiful this time of year. ,1006,4
mturk_agent_1,"That's a good point about safety. Yes, I'm going to do some day hikes. How about you and your boys?",1006,4
mturk_agent_2,Yes hiking and some fishing too. ,1006,5
mturk_agent_1,That sounds great! I'm going to enter the deal we discussed.,1006,5
mturk_agent_2,Submit-Deal,1006,6
mturk_agent_1,Accept-Deal,1006,6
mturk_agent_2,Extra water is on the top of my want list since I have 3 active kids I need to keep hydrated.,1007,0
mturk_agent_1,I’d like a little extra water but am really interested in getting more food for my big group☹️☹️,1007,0
mturk_agent_2,I think we'll be OK with the food we have. They're really not big eaters.  A couple of them always seem to be cold so some more firewood would be great.,1007,1
mturk_agent_1,"We could help with that I’m sure. What about 3 food for me, 3 water for you, and 2 firewood for you with just 1 for me?",1007,1
mturk_agent_2,That would be great. Very nice of you.🙂,1007,2
mturk_agent_1,Great some have a deal. Are you looking forward to camping?,1007,2
mturk_agent_2,Been looking forward to this trip for a long time.  I just wasn't sure about the supplies.  You have helped ease my mind. 🙂,1007,3
mturk_agent_1,Glad Imcou,1007,3
mturk_agent_2,"So it's agreed, 3 water for me, 3 food for you and 2 firewood for me and 1 for you?",1007,4
mturk_agent_1,Sounds great. Apologies my last message sent before I hit the button. It was supposed to say glad I could help.,1007,4
mturk_agent_2,Submit-Deal,1007,5
mturk_agent_1,Accept-Deal,1007,5
mturk_agent_2,Good evening. I would like to have 2 food 2 water and 1 firewood please 🙂,1008,0
mturk_agent_1,"Hello. I was actually trying to get 3 food, 3 firewood and 3 water...my kids have been looking forward to this camping trip for such a long time, and I want to make sure everything goes smoothly.",1008,0
mturk_agent_2,I understand but that would mean you get everything and i get nothing. How is that fair? ☹️,1008,1
mturk_agent_1,"That's true. Can I get 3 food, 2 water? And you can have 2 firewood?",1008,1
mturk_agent_2,I like to have a nice cup of tea at night before I go to bed to help me relax and sleep. I also need food to eat. You never know if you are going to get stranded and so I would like some extra food,1008,2
mturk_agent_1,"Absolutely, that sounds like a real concern. How about we do 2 for 1? I just am really concerned for my kids, I have so many people accompanying me on this trip.",1008,2
mturk_agent_2,Ok I am willing to make it so we both win and have a great time.  I guess since you are having more people it would make sense to need more food. ,1008,3
mturk_agent_1,"I agree, and I really appreciate it. So 2-1 straight down? I'll submit the deal.",1008,3
mturk_agent_2,Sure only so your kids can have a great time and its just me going camping. ,1008,4
mturk_agent_1,"Sounds good. Thanks from all of us, I really appreciate it--and so do they. It's going to be a pretty cool time together. The youth deserve the outdoors. They're our future.",1008,4
mturk_agent_2,🙂 enjoy your time. Kids grow up so fast. Have fun and Keep safe. ,1008,5
mturk_agent_1,Submit-Deal,1008,5
mturk_agent_2,Accept-Deal,1008,6
mturk_agent_2,Hello! 🙂 I would like to start off the offer with you can have 1 water and ALL 3 firewood. 😮,1009,0
mturk_agent_1,"Hi there. What about the food? I am bringing teenagers with me, so I was hoping to have all three food and at least two water.",1009,0
mturk_agent_2,"😮 Ill need at least two food, I am a diabetic and food and water are essential to keep my blood sugar within a range that I will be able to function, without it my mental status changes, and unless those teens want to see an interestingggg show I need food and water",1009,1
mturk_agent_1,Understood. How many people will be with you?,1009,1
mturk_agent_2,"We are a family of 3, and have 2 dogs, the dogs will not require food from this package, but will need someof the water",1009,2
mturk_agent_1,We are also a family of 3 🙂. But my son is bringing three friends. Have you ever fed four teenage boys? 😮 Lord help me! That is why I was hoping to have more food.,1009,2
mturk_agent_2,"I can't even imagine! What if we do you can have two food, 1 water and since I have the dogs that love to run and play, Ill take 1 food and 2 water",1009,3
mturk_agent_1,That sounds great! How would you like to split the firewood? My son loves to build campfires.,1009,3
mturk_agent_2,"With taking less food my sugar will be low, in that state I will be very cold. My wife knows when my sugar is dropping just based on how many blankets I need, even in the summer haha! ",1009,4
mturk_agent_1,Would you like all three then? My son and his friends can gather sticks and broken pieces in the woods.,1009,4
mturk_agent_2,"Sounds like a great compromise! It was nice working with you, will be such a fun time! ",1009,5
mturk_agent_1,Submit-Deal,1009,5
mturk_agent_2,Accept-Deal,1009,6
mturk_agent_1,Hi! What sort of packages are you looking for today?,101,0
mturk_agent_2,"Hi there! I am looking to have 3 packages of firewood, 2 packages of food, and 1 package of water please. ",101,0
mturk_agent_1,"Oh we have similar priorities 🙂I am also interested in getting firewood, because I have a condition that makes me very cold, colder than the average person, so I need to make sure I have enough for the trip. Why do you want food",101,1
mturk_agent_2,That make sense. I need firewood though too because I have an autoimmune disease. When it flares up - when it gets too cold - I get very sick and have to go to the hospital. I need to make sure I have enough for the trip as well. I need food to keep my metabolism up so I can make sure my disease stays in check. Why do you want food?,101,1
mturk_agent_1,"That makes sense . I have a friend coming with me on the camping trip, and she also needs to eat, so I'd like to get an extra package of food if possible. ",101,2
mturk_agent_2,"Okay that would be fine. If I can have 3 packages of firewood, you can have 2 packages of food. Does that work?",101,2
mturk_agent_1,"That does not work for me. I need at least one package of firewood. I'm sure you understand, because it seems like we have medical conditions with similar effects. You can take all of the water if I can get 2 packages of food and 1 of firewood. Does that work?",101,3
mturk_agent_2,I do understand. That will work for me. ,101,3
mturk_agent_1,Could you tell me about why you want water? ,101,4
mturk_agent_2,I want water so I can keep hydrated during this camping trip. It's important for me to drink bottled water vs. getting water out at camping as it may flare up my disease. ,101,4
mturk_agent_1,"Oh interesting! I have a device that allows me to drink pond/stream water by cleaning it, so water isn't as important to me.",101,5
mturk_agent_2,Submit-Deal,101,5
mturk_agent_1,Accept-Deal,101,6
mturk_agent_2,"Hello, it is nice to meet you. I am excited for this camping trip.",1010,0
mturk_agent_1,Same here!  I didn't realize that I would have a neighbor so close,1010,0
mturk_agent_2,"Well, hopefully since we are close neighbors we can work out an agreement that helps us both, right?",1010,1
mturk_agent_1,yup!  I am a master chef.  I think that if we pool our resources everything will be great for both of us,1010,1
mturk_agent_2,"That would be great! Since you are a master chef, you can probably make something out of nothing like a true pro! Unfortunately, I am a diabetic and if I don't eat regularly my blood sugar drops and I get really dizzy and could even pass out. I would be much more comfortable knowing the 3 food packs were with me so they are close if I need them. Is that okay with you?",1010,2
mturk_agent_1,Yes.  I have no problem with that.  Keep your firewood over at my site and just tell me when you need something made.  That way you don't need to worry about cooking while your sugar is low,1010,2
mturk_agent_2,"Wow, that would be so kind of you 🙂 You can take the 3 firewood and I will take the 3 food. Are you okay with me taking the water as well?",1010,3
mturk_agent_1,"leave me with one so that the kids have easy access to water.  wood with me, food with you, and 1 water with me",1010,3
mturk_agent_2,"That works for me. 3 firewood and 1 water to you, 3 food and 2 water for me. We make pretty great neighbors ;)",1010,4
mturk_agent_1,Sounds like everything will work out great,1010,4
mturk_agent_2,Submit-Deal,1010,5
mturk_agent_1,Accept-Deal,1010,5
mturk_agent_2,Hello,1011,0
mturk_agent_1,Hello how is your day going? We have nice weather here.,1011,0
mturk_agent_2,Same over here ,1011,1
mturk_agent_1,"I haven't had a good camping trip in a long time but I have been thinking about when I went a few years ago to a lake up in Wisconsin, it was amazing.",1011,1
mturk_agent_2,They have some great lakes up in wisconsin thats for sure hahaha. In regards to the triip and supplies you are hoping to procure; what is your priorities? ,1011,2
mturk_agent_1,Well it is by fresh water so I would say water is the lowest. But I am not sure about what would is there so firewood? What about you?,1011,2
mturk_agent_2,"I agree that lake michigan and winnebago has access to water to boil, fish to catch, and I think firewood to chop. I would say that for the camping trip food would be the highest want followed by firewood and finally water",1011,3
mturk_agent_1,I can understand that. I went on a winter trip that was like that. So how would you like to trade items?,1011,3
mturk_agent_2,Would you be interested in trade 2 Water for 1 Firewood and 2 Firewood for 1 Food?,1011,4
mturk_agent_1,Yes that sounds alright to me. Go ahead and submit that trade and have a good trip. 🙂,1011,4
mturk_agent_2,Submit-Deal,1011,5
mturk_agent_1,Accept-Deal,1011,5
mturk_agent_2,Hi would like to take some additional water packages and some food.,1012,0
mturk_agent_1,"Hello, I hope you are doing well. I see that you would like some additional water and food packages. I also would like to get additional food water packages.",1012,0
mturk_agent_2,I'm doing well Thanks. And I hope you are doing good as well. I do not carry any additional packages in my hand and I have very less food package for the trip.,1012,1
mturk_agent_1,I forgot to mention I also would like have additional firewood for my camping trip,1012,1
mturk_agent_2,Water packages are my essential need and a additional food package and some firewood for camping is necessary,1012,2
mturk_agent_1,"I see 🙂 What do you think about this? I get 2 food, 3 firewood, and 1 water. You get 1 food, 0 firewood, and 2 water",1012,2
mturk_agent_2,"I would like to take 3 water 2 food and 1 firewood, so you can get 0 water 1 food and 2 firewood.",1012,3
mturk_agent_1,I am sorry but I cannot accept that. I need water as well for my camping trip and would like more food as well. ,1012,3
mturk_agent_2,"I can understand, but I need water and food for my camping trip, and sure I need firewood as well",1012,4
mturk_agent_1,"Okay, I understand. How about this new deal since it seems you want more water than me I will comprise and give you more water than me as long as you give me more food. I will also compromise on firewood as well and give you more. So basically it would look like for me: 3 food, 1 firewood, 1 water. And for you it would be 1 food, 2 firewood, 2 water",1012,4
mturk_agent_2,"I can't accept the deal! I'm sorry! ☹️ I can compromise with water for you and firewood but not with food, so I goes like 2 water 2 food and 1 firewood for me and 1 water 1 food and 2 firewood for you",1012,5
mturk_agent_1,"So you're willing to compromise on water and firewood? Okay, what about this? Me: 1 food, 2 firewood, 2 water You: 2 Food 1 firefood, 1 water",1012,5
mturk_agent_2,No I can't accept this! I'm sorry again! I want to go with the same decision Me 2 water 2 food and 1 firewood and for you 1 water 1 food and 2 firewood,1012,6
mturk_agent_1,Okay I see you're not willing to budge. I will agree to these terms,1012,6
mturk_agent_2,Thanks for accepting my request I'm glad. we can share on the go.,1012,7
mturk_agent_1,Submit-Deal,1012,7
mturk_agent_2,Accept-Deal,1012,8
mturk_agent_2,"Hello, I would like to get all of the wood if possible and get 2 of food.",1013,0
mturk_agent_1,"I need the food and firewood, but you can have all the water.  I'm going hiking, and I have health issues so I will need firewood when it gets cool at night.",1013,0
mturk_agent_2,I'l going on camping trip with kids. This is once a year trip for us. Kids love sitting next to a fire in the evening. I definitely need extra wood.,1013,1
mturk_agent_1,"I can give you one firewood, I think I can get by with two.",1013,1
mturk_agent_2,It get cold at night in the camping site as well. I might need two extra packages. Do you mind if I have one more?,1013,2
mturk_agent_1,"I can give you two, if I get all the food.  You can have most of the water.",1013,2
mturk_agent_2,"OK, how about I get 2 of firewood, two waters, and one food. and you get the rest.",1013,3
mturk_agent_1,"I think I can fid a little firewood, How about I get all the food, you have all the firewood, and I'll take two waters.",1013,3
mturk_agent_2,"If you get all of the food, can you at least give me two waters?",1013,4
mturk_agent_1,"Sure, I can do that.  Do we have a deal?",1013,4
mturk_agent_2,Submit-Deal,1013,5
mturk_agent_1,Accept-Deal,1013,5
mturk_agent_2,"hello, I am wondering what items are priority for you",1014,0
mturk_agent_1,Hi there!! I am hoping you have firewood? I really need the firewood in case I get cold!,1014,0
mturk_agent_2,"I need the water most, but I also need some wood",1014,1
mturk_agent_1,You can have all of the water if I can have 2 of the firewood and 2 of the food. Does that work?,1014,1
mturk_agent_2,"so I have all the water, one food and one firewood?",1014,2
mturk_agent_1,Yes. Does that work?,1014,2
mturk_agent_2,sounds good to me,1014,3
mturk_agent_1,Great! We have a deal! So where are you heading out to camp?,1014,3
mturk_agent_2,"Maasai Mara, see you there🙂",1014,4
mturk_agent_1,That sounds fun! Enjoy! 🙂,1014,4
mturk_agent_2,Submit-Deal,1014,5
mturk_agent_1,Accept-Deal,1014,5
mturk_agent_1,"Hi, how are you?",1015,0
mturk_agent_2,"I am doing great, how abou you",1015,0
mturk_agent_1,"Good, thanks! What are you most interested in acquiring?",1015,1
mturk_agent_2,"Food and water, we have a huge group of people camping with us.",1015,1
mturk_agent_1,"got it, those are also my priorities. perhaps we can split it somehow and use firewood as the way to balance it?",1015,2
mturk_agent_2,What do you need more of food or water?,1015,2
mturk_agent_1,water,1015,3
mturk_agent_2,How about 2 water 1 Food 1 Firewood for you?,1015,3
mturk_agent_1,I think I'd rather prefer 1 water 1 food and 3 firewood. does that work for you?,1015,4
mturk_agent_2,"Yes, that works great for me",1015,4
mturk_agent_1,Submit-Deal,1015,5
mturk_agent_2,Accept-Deal,1015,5
mturk_agent_2,"Hey. Are you as pumped about a camping getaway as I am?🙂 So, what are your needs for the extra provisions?",1016,0
mturk_agent_1,I am super pumped! My main worry is water because of the size of our group. Really need the extra packages for cooking etc,1016,0
mturk_agent_2,"That is exactly our need! How many are you thinking you need? by the way, food is not as much as a priority for my group. ",1016,1
mturk_agent_1,umm. I was thinking atleast 2. Food is not a big priority for us either as we can always fish ,1016,1
mturk_agent_2,"Are you okay with receiving 2 waters, 1 firrewood, and 2 food? And, don't forget the bait!🙂",1016,2
mturk_agent_1,"So you are offering me 2 waters, 1 fire and 2 food? is that correct",1016,2
mturk_agent_2,Exactly. Does that sound okay to you guys? How many are in your group?,1016,3
mturk_agent_1,There's 4 couples and a few of their kids. That's why water is so important. That sounds plenty fair to me,1016,3
mturk_agent_2,Great. We have a deal. See you out in the beautiful wilderness..🙂,1016,4
mturk_agent_1,"Thank you, I hope you have a great trip! ",1016,4
mturk_agent_2,Submit-Deal,1016,5
mturk_agent_1,Accept-Deal,1016,5
mturk_agent_1,"Hi, I would get 2 packages of food and water and you get one of each and you get 3 packages of firewood.",1017,0
mturk_agent_2,I really need 3 packages of food because I will be making food for everyone that comes.,1017,0
mturk_agent_1,So do you want to get 3 packages of food for the camping?,1017,1
mturk_agent_2,"Yes please, and then I also need to get 3 packages of water because I am allergic to the lake and will need to bathe using the water we bring.",1017,1
mturk_agent_1,Sure that's great! So you are getting everything ?,1017,2
mturk_agent_2,I need to talk it out more with you.  There is also an issue with the firewood.,1017,2
mturk_agent_1,Would you be fine to bring 3 packages of firewood?,1017,3
mturk_agent_2,I am going to make s'mores for everyone so I will also bring 3 packages of firewood yes.,1017,3
mturk_agent_1,thank you! you are such a great person to camp with. We will have a great time at the camping. 🙂,1017,4
mturk_agent_2,"I think that the camping will go well too, looking forward to it.",1017,4
mturk_agent_1,Walk-Away,1017,5
mturk_agent_2,"Hello, It's nice to meet you.",1018,0
mturk_agent_1,"Hi there, it is nice to meet you too. ",1018,0
mturk_agent_2,"I am worried I'm going to be cold at night, I'd like more firewood if possible.",1018,1
mturk_agent_1,"I can understand that, but I would also like to have more firewood because I am anemic. I get cold very, very easily, even in the daytime. ☹️",1018,1
mturk_agent_2,What about food? I don't need a lot since I ate alot yesterday.,1018,2
mturk_agent_1,How would you feel about me taking 3 firewood and 2 water and you taking 1 water and 3 food?,1018,2
mturk_agent_2,I don't need that much food though. I'm more worried about having water since there's no streams around.,1018,3
mturk_agent_1,"Okay, that is a good point. How about I take 3 firewood, 1 water, 1 food, and you take 2 water and 2 food?",1018,3
mturk_agent_2,I think I'll need at least 1 firewood. How about I get 1 firewood 2 water and 1 food? Leaving you 2 firewood 1 water and 2 food.,1018,4
mturk_agent_1,I like the sound of that. We will both get at least one of everything this way.,1018,4
mturk_agent_2,Yep! sounds great! We of each get something of everything.,1018,5
mturk_agent_1,Submit-Deal,1018,5
mturk_agent_2,Accept-Deal,1018,6
mturk_agent_1,"Hello, I am all packed and ready for my camping trip! I am looking forward to spending some time in the great outdoors!",1019,0
mturk_agent_2,Me too. I love camping. We are going hiking and fishing today. So excited.,1019,0
mturk_agent_1,I could use some more firewood. Are you short on any supplies?,1019,1
mturk_agent_2,Water please. We will drink a lot of water since the weather is very hot now. ,1019,1
mturk_agent_1,How about you take 2 water from the extra supplies and I could take 2 firewood?,1019,2
